日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2021/9/11,臺南市,仁德區,保安里,住宅,80,1,0,10,10,0,1,1,1,1,10,4,120.2310784,22.9231415
2021/9/7,臺南市,仁德區,後壁里,住宅,80,2,1,41,42,1,1,2,3,1,5,2,120.2426185,22.9475722
2021/9/8,臺南市,仁德區,新田里,住宅,80,0,0,16,16,0,0,0,0,0,0,0,120.2599266,22.9546843
2021/9/9,臺南市,歸仁區,文化里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.2923733,22.9713621
2021/9/10,臺南市,永康區,二王里,住宅,80,0,0,2,2,0,0,0,0,0,0,0,120.2469457,23.0177985
2021/9/9,臺南市,永康區,三民里,住宅,80,0,0,13,13,0,0,0,0,0,0,0,120.2483881,23.0537318
2021/9/6,臺南市,永康區,大橋里,學校,80,2,5,20,25,0,2,2,3,1,8,3,120.2296358,23.0187454
2021/9/6,臺南市,永康區,大橋里,學校,80,0,6,12,18,0,0,0,0,0,0,0,120.2296358,23.0187454
2021/9/7,臺南市,永康區,大灣里,住宅,80,1,0,14,14,0,1,1,1,1,7,3,120.2707431,23.0067641
2021/9/8,臺南市,永康區,中華里,住宅,80,0,2,12,14,0,0,0,0,0,0,0,120.2375698,23.0003039
2021/9/9,臺南市,永康區,中興里,住宅,80,1,0,10,10,0,1,1,1,1,10,4,120.2382911,23.0061926
2021/9/10,臺南市,永康區,王行里,住宅,80,0,0,16,16,0,0,0,0,0,0,0,120.2772325,23.042301
2021/9/9,臺南市,永康區,北興里,住宅,80,0,0,1,1,0,0,0,0,0,0,0,120.268003,23.012219
2021/9/6,臺南市,永康區,北灣里,住宅,80,0,0,16,16,0,0,0,0,0,0,0,120.270022,23.012954
2021/9/10,臺南市,永康區,北灣里,住宅,80,0,0,18,18,0,0,0,0,0,0,0,120.270022,23.012954
2021/9/6,臺南市,永康區,正強里,住宅,80,0,1,16,17,0,0,0,0,0,0,0,120.251994,23.0294884
2021/9/11,臺南市,永康區,正強里,住宅,120,1,0,10,10,0,1,1,1,1,10,4,120.251994,23.0294884
2021/9/6,臺南市,永康區,永康里,住宅,80,0,2,7,9,0,0,0,0,0,0,0,120.2584844,23.0234285
2021/9/6,臺南市,永康區,永康里,學校,80,1,0,5,5,0,1,1,1,1,20,5,120.2584844,23.0234285
2021/9/10,臺南市,永康區,永康里,住宅,80,0,0,7,7,0,0,0,0,0,0,0,120.2584844,23.0234285
2021/9/11,臺南市,永康區,永康里,住宅,80,0,0,8,8,0,0,0,0,0,0,0,120.2584844,23.0234285
2021/9/7,臺南市,永康區,甲頂里,住宅,80,1,1,11,12,1,0,1,1,1,8,3,120.2152092,23.0217702
2021/9/11,臺南市,永康區,甲頂里,住宅,120,0,0,2,2,0,0,0,0,0,0,0,120.2152092,23.0217702
2021/9/7,臺南市,永康區,成功里,住宅,80,0,0,20,20,0,0,0,0,0,0,0,120.2379305,23.0032483
2021/9/11,臺南市,永康區,西勢里,住宅,80,0,0,7,7,0,0,0,0,0,0,0,120.2772325,23.0154649
2021/9/6,臺南市,永康區,西灣里,住宅,80,0,0,9,9,0,0,0,0,0,0,0,120.2613689,23.0120871
2021/9/7,臺南市,永康區,東橋里,住宅,80,1,0,4,4,0,1,1,1,1,25,6,120.241176,23.0243778
2021/9/9,臺南市,永康區,東橋里,住宅,80,0,0,3,3,0,0,0,0,0,0,0,120.241176,23.0243778
2021/9/10,臺南市,永康區,東灣里,住宅,80,1,5,12,17,0,1,1,1,1,6,3,120.270022,22.9995352
2021/9/10,臺南市,永康區,南灣里,住宅,80,2,0,20,20,0,2,2,3,1,10,4,120.2613689,22.9986674
2021/9/9,臺南市,永康區,埔園里,住宅,80,0,0,5,5,0,0,0,0,0,0,0,120.2584844,23.0341644
2021/9/9,臺南市,永康區,烏竹里,住宅,80,0,0,2,2,0,0,0,0,0,0,0,120.2642533,23.0410039
2021/9/10,臺南市,永康區,神洲里,住宅,80,1,0,9,9,0,1,1,1,1,11,4,120.2408154,23.0046566
2021/9/11,臺南市,永康區,神洲里,住宅,80,0,0,7,7,0,0,0,0,0,0,0,120.2408154,23.0046566
